latitude,longitude,location_id
12.874717496,77.624220658,1
12.932205622,77.595695383,2
12.865746163,77.633957988,3
12.852242287,77.587345754,4
12.915903033,77.585424363,5
12.860688065,77.59980261,6
12.940146442,77.557273459,7
12.895237749,77.594663422,8
12.8713511,77.57761643,9
12.87818291,77.649518143,10
12.919646846,77.554008799,11
12.940200264,77.602232888,12
12.875839554,77.566790124,13
12.885244717,77.589574613,14
12.945793055,77.559955811,15
12.91658397,77.587026678,16
12.871836648,77.606877499,17
12.897970679,77.647848144,18
12.933810541,77.642175931,19
12.917527505,77.551022041,20
12.890274423,77.645716982,21
12.907114049,77.61301133,22
12.92852529,77.601139455,23
12.934287785,77.637381848,24
12.8712095,77.567657626,25
12.869242193,77.645397412,26
12.910085087,77.622674335,27
12.935248937,77.587768982,28
12.945370854,77.585060508,29
12.948656063,77.647120974,30
12.853533615,77.552672032,31
12.907117771,77.550558608,32
12.935943521,77.604042748,33
12.87321428,77.62595566,34
12.935989352,77.603172785,35
12.944425711,77.640689241,36
12.892805334,77.590602323,37
12.926322558,77.586089645,38
12.930725039,77.614216601,39
12.875464181,77.57677681,40
12.935598761,77.571669276,41
12.881142716,77.568569099,42
12.917329323,77.63240458,43
12.9384827,77.605107007,44
12.903037375,77.576332788,45
12.899939776,77.612795877,46
12.892007369,77.609974069,47
12.858485089,77.636183105,48
12.94566439,77.596769186,49
12.902918199,77.558074191,50
12.917759688,77.55415968,51
12.911574855,77.578471574,52
12.946207013,77.634697331,53
12.911217715,77.627065805,54
12.906860852,77.574311847,55
12.894147371,77.587428121,56
12.939666658,77.564297259,57
12.917106194,77.573073762,58
12.85955314,77.596506553,59
12.873309154,77.634874519,60
12.931605805,77.649711097,61
12.921829168,77.620984461,62
12.897691805,77.614096675,63
12.892674518,77.558285677,64
12.92312674,77.597327191,65
12.912710075,77.57294194,66
12.884648972,77.585056896,67
12.889357321,77.592162501,68
12.886856277,77.571056463,69
12.873413554,77.625231231,70
12.933273247,77.605742362,71
12.850045114,77.636232776,72
12.898385443,77.608294619,73
12.910798264,77.628439845,74
12.89472318,77.64379339,75
12.902627136,77.558565764,76
12.877418296,77.562128973,77
12.858212022,77.561023345,78
12.944716317,77.603487719,79
12.858473059,77.628520291,80
12.895648688,77.629257625,81
12.853427087,77.623342442,82
12.923491879,77.566396741,83
12.894956696,77.572034462,84
12.856781521,77.594641335,85
12.883421067,77.5823929,86
12.90959767,77.567515659,87
12.906233649,77.58715348,88
12.904051666,77.558119812,89
12.897674168,77.551549856,90
12.926554599,77.574622235,91
12.929332102,77.642084202,92
12.93030997,77.564485471,93
12.855053213,77.575814855,94
12.938352388,77.559652365,95
12.908998233,77.626381431,96
12.914446133,77.583260301,97
12.861186046,77.558984372,98
12.923585734,77.593678601,99
12.948331762,77.561320905,100
12.878493077,77.597295953,101
12.911176752,77.627649329,102
12.89232954,77.627528985,103
12.898087482,77.579055318,104
12.852491129,77.608837674,105
12.87167081,77.60636025,106
12.882616838,77.61857285,107
12.928901847,77.556733546,108
12.856793981,77.580455463,109
12.94167247,77.605509249,110
12.887189778,77.640557983,111
12.933273343,77.643332302,112
12.92741456,77.605184758,113
12.931102978,77.633998136,114
12.899501667,77.584585138,115
12.878289237,77.617521923,116
12.877247741,77.622106565,117
12.881545592,77.578875627,118
12.929266792,77.556842154,119
12.926352486,77.577569252,120
12.890861708,77.590489567,121
12.853141861,77.632197867,122
12.939393206,77.555317239,123
12.934308202,77.551701353,124
12.853930803,77.600993692,125
12.85098771,77.621510742,126
12.87414155,77.600327334,127
12.85657238,77.561729236,128
12.879014584,77.634564871,129
12.866886104,77.647857209,130
12.865903567,77.586168728,131
12.884660509,77.634188028,132
12.879707278,77.578605336,133
12.927375058,77.601665007,134
12.888148673,77.636886484,135
12.87050067,77.586024021,136
12.933592067,77.594573336,137
12.913217635,77.590108544,138
12.863264484,77.584765859,139
12.876865032,77.643015737,140
12.859495776,77.578399778,141
12.85702546,77.57680945,142
12.892412274,77.580421643,143
12.9248142,77.572165879,144
12.8814601,77.60747862,145
12.91273137,77.595519453,146
12.920139504,77.642958246,147
12.900198515,77.55222019,148
12.937685519,77.635672259,149
12.894219471,77.60335293,150
12.850758791,77.639388198,151
12.940697579,77.600089996,152
12.917648324,77.616108062,153
12.885589372,77.630006486,154
12.901492789,77.596332371,155
12.850445643,77.60943375,156
12.919487791,77.559158406,157
12.876655674,77.635255064,158
12.886056314,77.596862119,159
12.913224889,77.647273286,160
12.918184749,77.589923206,161
12.865795934,77.614118041,162
12.946581454,77.602022665,163
12.884932712,77.615274029,164
12.879395272,77.632872838,165
12.930465841,77.592082474,166
12.934119189,77.587897671,167
12.852211859,77.588677392,168
12.875987946,77.646784509,169
12.851759622,77.616865731,170
12.947510609,77.567805359,171
12.866601212,77.597792593,172
12.927350064,77.638922053,173
12.893412907,77.56514784,174
12.893172873,77.591747235,175
12.857351891,77.641217345,176
12.890724862,77.575790553,177
12.874219059,77.648216167,178
12.933139004,77.627211627,179
12.85018618,77.634381215,180
12.878018256,77.592135007,181
12.899422796,77.572350102,182
12.905086784,77.578675942,183
12.867172035,77.607890921,184
12.911667662,77.629786816,185
12.90571166,77.60408758,186
12.857267195,77.595068329,187
12.91982205,77.576531271,188
12.938215713,77.637509748,189
12.934724132,77.570427718,190
12.887073076,77.566069237,191
12.863674436,77.581255407,192
12.859918133,77.573439435,193
12.890321737,77.644199028,194
12.929421979,77.647815618,195
12.893775236,77.561902679,196
12.868819326,77.620569762,197
12.880570709,77.602314988,198
12.8813258,77.592550487,199
12.94002301,77.62432047,200
12.927416889,77.637770896,201
12.910774628,77.55090636,202
12.912377501,77.605416018,203
12.948975715,77.641348417,204
12.879471215,77.638619263,205
12.87954668,77.564598799,206
12.949988509,77.578300707,207
12.921788613,77.585639515,208
12.946487416,77.583360282,209
12.906512406,77.570580576,210
12.896569889,77.572920841,211
12.912954902,77.557734298,212
12.909572471,77.62967518,213
12.889061584,77.61037037,214
12.934502252,77.553329257,215
12.924299455,77.597690372,216
12.86731594,77.580439956,217
12.857344341,77.551657796,218
12.907201174,77.560147321,219
12.899032463,77.559935435,220
12.921619114,77.596516958,221
12.902271182,77.644001588,222
12.86495512,77.597422803,223
12.91195347,77.576547278,224
12.949267226,77.593403157,225
12.886061566,77.597738661,226
12.88199561,77.586840112,227
12.932679406,77.596659044,228
12.885486943,77.589044095,229
12.882394601,77.61531015,230
12.859461319,77.643904816,231
12.931969456,77.560877093,232
12.911182551,77.571641764,233
12.911290616,77.589293046,234
12.91572975,77.60127382,235
12.893044748,77.64376245,236
12.894905843,77.558858883,237
12.913665785,77.601905397,238
12.923655957,77.580246682,239
12.904682233,77.628415494,240
12.889008089,77.620399444,241
12.922621195,77.635132016,242
12.901014619,77.589280055,243
12.879641263,77.585683038,244
12.864423168,77.580625315,245
12.850307466,77.608749375,246
12.871222112,77.641562305,247
12.854470864,77.579755831,248
12.881764151,77.59047556,249
12.91964572,77.601199511,250
12.941607845,77.641887166,251
12.923969844,77.600580421,252
12.911047372,77.619629825,253
12.913523464,77.557012587,254
12.939969611,77.582360354,255
12.873826895,77.623198848,256
12.857579246,77.642601928,257
12.923346604,77.569614682,258
12.910812541,77.603761554,259
12.907812293,77.560879631,260
12.939456762,77.601972745,261
12.946825924,77.623940087,262
12.898507502,77.551742317,263
12.941307909,77.623591086,264
12.899886037,77.63486684,265
12.900584405,77.587953134,266
12.876560179,77.595396994,267
12.92463986,77.585679121,268
12.853464098,77.633620259,269
12.872916121,77.634992151,270
12.871976236,77.627406053,271
12.879511479,77.607338829,272
12.888352544,77.639271674,273
12.939014123,77.63611946,274
12.89742641,77.58464614,275
12.926171005,77.562233101,276
12.876420754,77.603913764,277
12.8835535,77.563922674,278
12.937986834,77.623382272,279
12.923234361,77.569102388,280
12.936938888,77.611653529,281
12.88711106,77.565663164,282
12.852420163,77.636754513,283
12.93919046,77.565487617,284
12.910893818,77.579470126,285
12.85477682,77.609939875,286
12.885586394,77.619338428,287
12.913521749,77.582695864,288
12.914049341,77.566773105,289
12.900177544,77.647209563,290
12.89262877,77.552776781,291
12.864804316,77.602708659,292
12.93566256,77.55335618,293
12.884618019,77.57718655,294
12.926703488,77.564525389,295
12.914782352,77.62886406,296
12.857643274,77.621277238,297
12.89554067,77.581803139,298
12.935903525,77.618608158,299
12.905790371,77.576337849,300
12.940554332,77.574279089,301
12.934728507,77.628834995,302
12.850051836,77.556798637,303
12.886064122,77.602449284,304
12.865618045,77.596387406,305
12.933557513,77.647252596,306
12.852360478,77.588577298,307
12.94751915,77.558053463,308
12.887382152,77.562941694,309
