vehicle_id,timestamp,acceleration,gyroscope,speed,vibration,latitude,longitude,event_label
V118,2026-03-01 08:00:00,0.5250037815963264,0.32577668371580004,34.2155697196722,0.22379002363125705,12.874717496,77.624220658,normal
V126,2026-03-01 08:00:01,0.3702009593587009,0.3420756707342873,43.78570940345526,0.1044183833465413,12.932205622,77.595695383,normal
V111,2026-03-01 08:00:02,-0.5863742278910127,0.3977687888185635,16.189218424260616,0.019874784069677298,12.865746163,77.633957988,normal
V149,2026-03-01 08:00:03,-8.406545969762265,-0.13899552797658404,48.160944199189544,0.6033661216319918,12.852242287,77.587345754,harsh_brake
V140,2026-03-01 08:00:04,-15.091456818819992,2.59889062796777,65.95341249136254,5.9009331715474795,12.915903033,77.585424363,crash
V127,2026-03-01 08:00:05,-3.89824834361696,0.2002435111957115,46.36304872110486,0.24068437598834935,12.860688065,77.59980261,normal
V140,2026-03-01 08:00:06,-0.21298942696189954,0.44156692461999464,35.36024868488312,0.3580328280456412,12.940146442,77.557273459,normal
V146,2026-03-01 08:00:07,-8.455735996141975,-0.48144323483589496,44.510605446994305,0.48161034102714084,12.895237749,77.594663422,harsh_brake
V147,2026-03-01 08:00:08,1.4875690984823344,0.31319509552742325,82.44011780247092,0.07473714400930506,12.8713511,77.57761643,normal
V129,2026-03-01 08:00:09,1.4107893129490325,-0.2695351121222376,36.85002572834492,0.3132115002709312,12.87818291,77.649518143,normal
V103,2026-03-01 08:00:10,-10.236863036296208,3.324144752647467,63.148084103595465,4.358800542515682,12.919646846,77.554008799,crash
V149,2026-03-01 08:00:11,-0.7945424920940645,-0.09534360628336197,53.30432778224349,0.23432202887285583,12.940200264,77.602232888,normal
V109,2026-03-01 08:00:12,-0.05321581368248431,-0.521613008062886,54.38678987324238,0.23843190710787338,12.875839554,77.566790124,normal
V149,2026-03-01 08:00:13,-1.5592075345536311,-0.4125291312956028,81.92234992980957,0.2587184119575148,12.885244717,77.589574613,normal
V115,2026-03-01 08:00:14,0.47975713706037126,-0.18274225520363152,31.353547237813473,0.26083290962162703,12.945793055,77.559955811,normal
V105,2026-03-01 08:00:15,-6.7282985402008615,0.3289914117893769,57.84812436904758,0.6450511948570475,12.91658397,77.587026678,harsh_brake
V131,2026-03-01 08:00:16,2.398835872930422,0.362151896776127,18.18361734971404,0.2069328415990583,12.871836648,77.606877499,normal
V138,2026-03-01 08:00:17,-0.3128494349031018,0.3808874059247307,71.84481302276254,0.2067300898230406,12.897970679,77.647848144,normal
V129,2026-03-01 08:00:18,0.17562140492345096,0.6522254782120038,27.298333551734686,0.2955756127639667,12.933810541,77.642175931,normal
V100,2026-03-01 08:00:19,-12.595836010003167,4.795322845539199,76.56800767639652,5.925312704638832,12.917527505,77.551022041,crash
V132,2026-03-01 08:00:20,-7.187837143408273,0.053495337546977405,38.90649426728487,1.341253875767277,12.890274423,77.645716982,harsh_brake
V123,2026-03-01 08:00:21,1.1928087353555745,-0.20073704680971996,84.37655672430992,0.001242609167958486,12.907114049,77.61301133,normal
V126,2026-03-01 08:00:22,-0.33130961920137836,0.7206373428376849,32.79546808451414,0.1812499606204856,12.92852529,77.601139455,normal
V133,2026-03-01 08:00:23,-13.010393513650117,-1.0280793999647826,92.80615055700764,4.021157292257282,12.934287785,77.637381848,crash
V141,2026-03-01 08:00:24,1.7552812831914504,0.2513213078533784,20.768305622041225,0.07703603016054955,12.8712095,77.567657626,normal
V129,2026-03-01 08:00:25,-4.348472806400291,-0.3011019795706796,73.31279339268804,0.018557483782126127,12.869242193,77.645397412,normal
